tick,energy,eats,distance
0,30,0,0
1,29,0,0
2,27,0,1
3,25,0,2
4,29,1,2
5,27,1,3
6,25,1,4
7,23,1,5
8,21,1,6
9,29,2,6
10,27,2,7
11,25,2,8
12,23,2,9
13,21,2,10
14,19,2,11
15,17,2,12
16,15,2,13
17,13,2,14
18,11,2,15
19,9,2,16
20,7,2,17
21,5,2,18
22,3,2,19
23,29,3,19
24,27,3,20
25,25,3,21
26,23,3,22
27,21,3,23
28,19,3,24
29,17,3,25
30,15,3,26
31,29,4,26
32,27,4,27
33,25,4,28
34,29,5,28
35,27,5,29
36,25,5,30
37,23,5,31
38,21,5,32
39,19,5,33
40,17,5,34
41,15,5,35
42,13,5,36
43,11,5,37
44,9,5,38
45,7,5,39
46,5,5,40
47,3,5,41
48,1,5,42
48,0,5,43
