tick,energy,eats,distance
0,30,0,0
1,29,0,0
2,27,0,1
3,25,0,2
4,23,0,3
5,21,0,4
6,29,1,4
7,27,1,5
8,25,1,6
9,23,1,7
10,21,1,8
11,19,1,9
12,17,1,10
13,15,1,11
14,13,1,12
15,11,1,13
16,9,1,14
17,29,2,14
18,27,2,15
19,25,2,16
20,23,2,17
21,21,2,18
22,19,2,19
23,17,2,20
24,15,2,21
25,13,2,22
26,11,2,23
27,9,2,24
28,7,2,25
29,5,2,26
30,3,2,27
31,29,3,27
32,27,3,28
33,29,4,28
34,27,4,29
35,25,4,30
36,23,4,31
37,21,4,32
38,19,4,33
39,17,4,34
40,15,4,35
41,13,4,36
42,11,4,37
43,29,5,37
44,27,5,38
45,25,5,39
46,23,5,40
47,21,5,41
48,29,6,41
49,27,6,42
50,29,7,42
51,27,7,43
52,25,7,44
53,23,7,45
54,29,8,45
55,27,8,46
56,25,8,47
57,23,8,48
58,21,8,49
59,19,8,50
60,17,8,51
61,15,8,52
62,13,8,53
63,11,8,54
64,9,8,55
65,7,8,56
66,5,8,57
67,29,9,57
68,27,9,58
69,25,9,59
70,23,9,60
71,29,10,60
72,27,10,61
73,29,11,61
74,27,11,62
75,25,11,63
76,23,11,64
77,21,11,65
78,19,11,66
79,29,12,66
80,27,12,67
81,25,12,68
82,29,13,68
83,27,13,69
84,25,13,70
85,23,13,71
86,21,13,72
87,19,13,73
88,17,13,74
89,15,13,75
90,13,13,76
91,29,14,76
92,27,14,77
93,25,14,78
94,23,14,79
95,21,14,80
96,19,14,81
97,17,14,82
98,15,14,83
99,13,14,84
100,11,14,85
101,9,14,86
102,7,14,87
103,5,14,88
104,29,15,88
105,27,15,89
106,29,16,89
107,27,16,90
108,25,16,91
109,23,16,92
110,21,16,93
111,19,16,94
112,17,16,95
113,15,16,96
114,13,16,97
115,11,16,98
116,9,16,99
117,7,16,100
118,5,16,101
119,29,17,101
120,27,17,102
121,25,17,103
122,23,17,104
123,21,17,105
124,19,17,106
125,17,17,107
126,15,17,108
127,13,17,109
128,11,17,110
129,9,17,111
130,7,17,112
131,29,18,112
132,27,18,113
133,29,19,113
134,27,19,114
135,29,20,114
136,27,20,115
137,25,20,116
138,29,21,116
139,27,21,117
140,29,22,117
141,27,22,118
142,29,23,118
143,27,23,119
144,25,23,120
145,23,23,121
146,21,23,122
147,19,23,123
148,17,23,124
149,15,23,125
150,13,23,126
151,11,23,127
152,9,23,128
153,7,23,129
154,29,24,129
155,27,24,130
156,29,25,130
157,27,25,131
158,25,25,132
159,23,25,133
160,29,26,133
161,27,26,134
162,25,26,135
163,23,26,136
164,21,26,137
165,19,26,138
166,17,26,139
167,15,26,140
168,13,26,141
169,11,26,142
170,9,26,143
171,7,26,144
172,5,26,145
173,3,26,146
174,1,26,147
175,0,26,148
