tick,energy,eats,distance
0,30,0,0
1,29,0,0
2,27,0,1
3,29,1,1
4,27,1,2
5,25,1,3
6,29,2,3
7,27,2,4
8,25,2,5
9,29,3,5
10,27,3,6
11,25,3,7
12,29,4,7
13,27,4,8
14,29,5,8
15,27,5,9
16,29,6,9
17,27,6,10
18,25,6,11
19,23,6,12
20,21,6,13
21,19,6,14
22,17,6,15
23,15,6,16
24,13,6,17
25,11,6,18
26,29,7,18
27,27,7,19
28,29,8,19
29,27,8,20
30,25,8,21
31,29,9,21
32,27,9,22
33,25,9,23
34,23,9,24
35,21,9,25
36,19,9,26
37,17,9,27
38,29,10,27
39,27,10,28
40,25,10,29
41,23,10,30
42,21,10,31
43,19,10,32
44,17,10,33
45,15,10,34
46,13,10,35
47,11,10,36
48,9,10,37
49,7,10,38
50,5,10,39
51,3,10,40
52,1,10,41
53,0,10,42
