tick,energy,eats,distance
0,30,0,0
1,29,0,0
2,27,0,1
3,29,1,1
4,27,1,2
5,25,1,3
6,29,2,3
7,27,2,4
8,25,2,5
9,23,2,6
10,21,2,7
11,29,3,7
12,27,3,8
13,25,3,9
14,29,4,9
15,27,4,10
16,29,5,10
17,27,5,11
18,25,5,12
19,23,5,13
20,21,5,14
21,19,5,15
22,17,5,16
23,15,5,17
24,13,5,18
25,11,5,19
26,29,6,19
27,27,6,20
28,29,7,20
29,27,7,21
30,29,8,21
31,27,8,22
32,25,8,23
33,23,8,24
34,29,9,24
35,27,9,25
36,29,10,25
37,27,10,26
38,25,10,27
39,29,11,27
40,27,11,28
41,25,11,29
42,23,11,30
43,29,12,30
44,27,12,31
45,25,12,32
46,23,12,33
47,29,13,33
48,27,13,34
49,25,13,35
50,23,13,36
51,21,13,37
52,19,13,38
53,17,13,39
54,15,13,40
55,13,13,41
56,11,13,42
57,9,13,43
58,7,13,44
59,29,14,44
60,27,14,45
61,29,15,45
62,27,15,46
63,25,15,47
64,29,16,47
65,27,16,48
66,25,16,49
67,23,16,50
68,29,17,50
69,27,17,51
70,25,17,52
71,23,17,53
72,29,18,53
73,27,18,54
74,25,18,55
75,23,18,56
76,29,19,56
77,27,19,57
78,25,19,58
79,29,20,58
80,27,20,59
81,25,20,60
82,23,20,61
83,21,20,62
84,19,20,63
85,17,20,64
86,15,20,65
87,13,20,66
88,11,20,67
89,9,20,68
90,7,20,69
91,5,20,70
92,3,20,71
93,1,20,72
94,29,21,72
95,27,21,73
96,29,22,73
97,27,22,74
98,25,22,75
99,29,23,75
100,27,23,76
101,25,23,77
102,29,24,77
103,27,24,78
104,25,24,79
105,29,25,79
106,27,25,80
107,25,25,81
108,23,25,82
109,21,25,83
110,19,25,84
111,17,25,85
112,29,26,85
113,27,26,86
114,25,26,87
115,23,26,88
116,21,26,89
117,19,26,90
118,17,26,91
119,15,26,92
120,13,26,93
121,11,26,94
122,9,26,95
123,7,26,96
124,5,26,97
125,3,26,98
126,1,26,99
126,0,26,100
