tick,energy,eats,distance
0,30,0,0
1,29,0,0
2,27,0,1
3,29,1,1
4,27,1,2
5,25,1,3
6,23,1,4
7,21,1,5
8,19,1,6
9,17,1,7
10,15,1,8
11,13,1,9
12,29,2,9
13,27,2,10
14,25,2,11
15,23,2,12
16,21,2,13
17,19,2,14
18,17,2,15
19,29,3,15
20,27,3,16
21,29,4,16
22,27,4,17
23,25,4,18
24,23,4,19
25,21,4,20
26,19,4,21
27,17,4,22
28,15,4,23
29,13,4,24
30,11,4,25
31,29,5,25
32,27,5,26
33,25,5,27
34,23,5,28
35,21,5,29
36,19,5,30
37,17,5,31
38,15,5,32
39,13,5,33
40,29,6,33
41,27,6,34
42,25,6,35
43,29,7,35
44,27,7,36
45,25,7,37
46,23,7,38
47,21,7,39
48,29,8,39
49,27,8,40
50,25,8,41
51,29,9,41
52,27,9,42
53,29,10,42
54,27,10,43
55,25,10,44
56,23,10,45
57,29,11,45
58,27,11,46
59,25,11,47
60,23,11,48
61,21,11,49
62,19,11,50
63,17,11,51
64,15,11,52
65,13,11,53
66,29,12,53
67,27,12,54
68,25,12,55
69,23,12,56
70,29,13,56
71,27,13,57
72,29,14,57
73,27,14,58
74,25,14,59
75,23,14,60
76,21,14,61
77,29,15,61
78,27,15,62
79,25,15,63
80,23,15,64
81,21,15,65
82,19,15,66
83,17,15,67
84,15,15,68
85,13,15,69
86,11,15,70
87,9,15,71
88,29,16,71
89,27,16,72
90,25,16,73
91,23,16,74
92,21,16,75
93,19,16,76
94,17,16,77
95,15,16,78
96,29,17,78
97,27,17,79
98,29,18,79
99,27,18,80
100,25,18,81
101,23,18,82
102,21,18,83
103,19,18,84
104,17,18,85
105,15,18,86
106,29,19,86
107,27,19,87
108,25,19,88
109,23,19,89
110,21,19,90
111,19,19,91
112,17,19,92
113,15,19,93
114,13,19,94
115,11,19,95
116,9,19,96
117,7,19,97
118,5,19,98
119,3,19,99
120,1,19,100
121,0,19,101
