tick,energy,eats,distance
0,30,0,0
1,29,0,0
2,28,0,0
3,26,0,1
4,24,0,2
5,22,0,3
6,20,0,4
7,19,0,4
8,18,0,4
9,17,0,4
10,15,0,5
11,13,0,6
12,29,1,6
13,27,1,7
14,25,1,8
15,23,1,9
16,21,1,10
17,29,2,10
18,28,2,10
19,26,2,11
20,25,2,11
21,24,2,11
22,22,2,12
23,20,2,13
24,18,2,14
25,16,2,15
26,14,2,16
27,12,2,17
28,11,2,17
29,10,2,17
30,8,2,18
31,6,2,19
32,5,2,19
33,3,2,20
34,29,3,20
35,27,3,21
36,29,4,21
37,27,4,22
38,25,4,23
39,29,5,23
40,27,5,24
41,26,5,24
42,24,5,25
43,22,5,26
44,21,5,26
45,20,5,26
46,19,5,26
47,17,5,27
48,15,5,28
49,29,6,28
50,27,6,29
51,25,6,30
52,23,6,31
53,21,6,32
54,19,6,33
55,17,6,34
56,16,6,34
57,14,6,35
58,29,7,35
59,28,7,35
60,27,7,35
61,25,7,36
62,24,7,36
63,23,7,36
64,21,7,37
65,19,7,38
66,18,7,38
67,16,7,39
68,14,7,40
69,13,7,40
70,11,7,41
71,9,7,42
72,29,8,42
73,28,8,42
74,26,8,43
75,25,8,43
76,24,8,43
77,23,8,43
78,21,8,44
79,19,8,45
80,18,8,45
81,17,8,45
82,15,8,46
83,14,8,46
84,13,8,46
85,11,8,47
86,10,8,47
87,8,8,48
88,29,9,48
89,28,9,48
90,26,9,49
91,29,10,49
92,27,10,50
93,25,10,51
94,24,10,51
95,22,10,52
96,21,10,52
97,19,10,53
98,18,10,53
99,16,10,54
100,15,10,54
101,13,10,55
102,11,10,56
103,10,10,56
104,8,10,57
105,6,10,58
106,5,10,58
107,3,10,59
108,1,10,60
109,0,10,61
