tick,energy,eats,distance
0,30,0,0
1,29,0,0
2,27,0,1
3,25,0,2
4,23,0,3
5,22,0,3
6,20,0,4
7,18,0,5
8,16,0,6
9,14,0,7
10,12,0,8
11,10,0,9
12,8,0,10
13,29,1,10
14,28,1,10
15,27,1,10
16,26,1,10
17,24,1,11
18,22,1,12
19,20,1,13
20,18,1,14
21,16,1,15
22,15,1,15
23,14,1,15
24,12,1,16
25,11,1,16
26,9,1,17
27,8,1,17
28,6,1,18
29,5,1,18
30,3,1,19
31,29,2,19
32,27,2,20
33,26,2,20
34,25,2,20
35,24,2,20
36,23,2,20
37,22,2,20
38,21,2,20
39,19,2,21
40,17,2,22
41,29,3,22
42,27,3,23
43,25,3,24
44,23,3,25
45,21,3,26
46,19,3,27
47,18,3,27
48,16,3,28
49,14,3,29
50,12,3,30
51,10,3,31
52,29,4,31
53,27,4,32
54,25,4,33
55,23,4,34
56,29,5,34
57,27,5,35
58,26,5,35
59,25,5,35
60,23,5,36
61,21,5,37
62,19,5,38
63,29,6,38
64,27,6,39
65,25,6,40
66,23,6,41
67,21,6,42
68,19,6,43
69,17,6,44
70,16,6,44
71,14,6,45
72,12,6,46
73,11,6,46
74,9,6,47
75,7,6,48
76,5,6,49
77,3,6,50
78,1,6,51
79,29,7,51
80,27,7,52
81,25,7,53
82,24,7,53
83,22,7,54
84,20,7,55
85,18,7,56
86,29,8,56
87,27,8,57
88,29,9,57
89,28,9,57
90,27,9,57
91,25,9,58
92,23,9,59
93,29,10,59
94,27,10,60
95,25,10,61
96,29,11,61
97,27,11,62
98,29,12,62
99,28,12,62
100,26,12,63
101,24,12,64
102,23,12,64
103,21,12,65
104,19,12,66
105,18,12,66
106,17,12,66
107,16,12,66
108,15,12,66
109,13,12,67
110,11,12,68
111,9,12,69
112,8,12,69
113,6,12,70
114,4,12,71
115,2,12,72
116,1,12,72
117,0,12,72
