tick,energy,eats,distance
0,30,0,0
1,29,0,0
2,27,0,1
3,29,1,1
4,27,1,2
5,25,1,3
6,23,1,4
7,21,1,5
8,29,2,5
9,27,2,6
10,25,2,7
11,23,2,8
12,29,3,8
13,27,3,9
14,25,3,10
15,29,4,10
16,27,4,11
17,25,4,12
18,23,4,13
19,21,4,14
20,19,4,15
21,17,4,16
22,15,4,17
23,13,4,18
24,29,5,18
25,27,5,19
26,25,5,20
27,23,5,21
28,21,5,22
29,19,5,23
30,17,5,24
31,29,6,24
32,27,6,25
33,25,6,26
34,29,7,26
35,27,7,27
36,25,7,28
37,23,7,29
38,21,7,30
39,19,7,31
40,17,7,32
41,15,7,33
42,13,7,34
43,11,7,35
44,29,8,35
45,27,8,36
46,25,8,37
47,29,9,37
48,27,9,38
49,25,9,39
50,23,9,40
51,29,10,40
52,27,10,41
53,29,11,41
54,27,11,42
55,25,11,43
56,23,11,44
57,21,11,45
58,19,11,46
59,29,12,46
60,27,12,47
61,25,12,48
62,29,13,48
63,27,13,49
64,25,13,50
65,29,14,50
66,27,14,51
67,25,14,52
68,23,14,53
69,21,14,54
70,19,14,55
71,17,14,56
72,15,14,57
73,13,14,58
74,11,14,59
75,9,14,60
76,7,14,61
77,5,14,62
78,3,14,63
79,1,14,64
80,0,14,65
